index,word,count
19088,taken,988
19714,traditional,983
5350,contrast,982
19933,turn,979
16808,result,977
16868,review,976
7722,expression,976
16468,regarding,975
11538,latter,974
16539,relation,973
16783,response,970
6256,difference,965
11275,kind,964
4895,com,964
5088,concern,957
14736,past,955
20083,und,955
6086,description,954
2869,appear,952
21560,zionist,949
22535,על,948
19738,trans,947
3660,became,945
2144,action,943
19412,third,942
2151,activity,942
6974,element,937
19628,took,934
12623,mentioned,929
6943,either,928
10250,influence,926
3162,aspect,925
8298,four,924
18815,suggests,923
7414,essay,923
16270,reality,923
3498,back,921
3403,aviv,911
2349,agnon,911
8962,guide,911
18692,structure,908
14421,origin,905
15923,purpose,905
7484,european,902
5082,concept,901
7636,existence,900
18892,support,895
20661,voice,895
17514,scripture,889
16466,regard,886
12955,mn,883
10428,intellect,883
19026,system,882
5191,connection,879
5228,considered,877
11892,little,874
6179,development,873
2603,america,872
17974,show,871
5100,conclusion,869
10712,israelite,869
18403,specific,868
3715,belief,867
15036,phrase,867
20916,whole,866
4494,central,866
21696,את,865
4192,brother,864
4313,cambridge,863
8203,force,863
5090,concerning,861
7209,english,859
17187,rule,858
12812,mind,858
7519,evil,858
10430,intellectual,856
3840,beyond,854
12354,marriage,853
5669,custom,851
15029,philosophy,849
19602,together,848
9591,home,848
13359,na,846
4650,christianity,845
8434,full,843
21423,yosef,842
7686,explanation,839
20390,value,838
3299,attitude,836
21118,wrote,829
17019,rn,821
19356,theme,821
18448,spirit,820
15158,play,820
15237,poetry,817
11578,leader,816
10931,job,816
2176,addition,811
12992,model,810
21572,zohar,809
16441,reform,807
3615,basis,805
6572,document,804
11698,let,803
4194,brought,801
16916,ri,801
7761,eye,801
12622,mention,798
10959,josephus,797
8607,genesis,795
18707,student,792
7823,faith,791
18103,simply,791
14606,palestinian,787
17846,shel,786
3073,art,784
16429,refers,783
6082,described,783
3793,berlin,782
6817,eastern,781
14605,palestine,780
13093,moreover,778
16196,rashi,777
17248,sabbath,777
11713,level,776
4307,call,775
7265,entire,774
13131,mother,774
16051,quite,774
19451,throughout,773
10134,including,771
6898,effort,770
12222,major,769
6108,desire,768
21427,young,768
15293,poor,767
8367,french,767
9730,husband,766
15756,prophecy,765
18450,spiritual,764
10965,journal,762
9215,hasidic,757
13754,nm,755
3685,begin,753
8646,germany,753
9884,iii,753
15358,possibility,749
6948,el,747
1991,able,746
18168,situation,746
10775,iv,745
9472,high,744
16663,report,742
12584,memory,741
6136,detail,741
2571,always,740
3209,association,740
19661,tosefta,739
13732,nl,739
14547,oxford,737
20114,understood,737
14670,paris,731
17402,saw,730
10382,instance,729
2162,adam,728
6815,east,728
15361,post,725
14710,particularly,725
19370,theological,725
5767,date,721
14932,personal,720
13922,nothing,720
15523,presented,719
11904,living,717
5539,creation,716
17264,sacrifice,715
15938,put,714
6119,despite,712
6332,dis,712
18503,stand,710
20462,venice,710
9302,heart,710
3288,attention,705
8043,finally,704
2532,alone,704
18062,significant,703
8470,future,701
2528,almost,701
12238,male,701
5776,daughter,701
17577,seem,700
8166,fol,700
16536,related,697
4786,close,696
9075,half,694
3637,bavli,693
6890,effect,693
10710,israeli,690
19978,type,690
14940,perspective,688
8824,government,688
18306,solomon,688
19190,teaching,688
4949,communal,687
15638,probably,684
8041,final,682
13078,moral,682
14624,paper,681
12015,lost,680
7787,face,680
11100,kabbalah,679
2160,ad,678
8180,follows,675
19472,tibbon,674
11864,list,673
9899,il,671
7630,exile,669
19134,tannaitic,669
14333,open,669
12668,messiah,669
13464,natural,669
10384,instead,667
15233,poet,667
4490,center,667
6393,discussed,666
9064,halakhah,664
11506,large,661
2157,actually,661
4453,cause,661
11948,local,660
2779,answer,658
20522,vi,657
15520,presence,656
11805,likely,654
14227,offer,654
18317,something,653
11577,lead,653
9212,hasid,653
12406,master,653
5795,dead,652
12549,meir,650
3972,blood,650
16322,recent,649
15583,priest,649
20036,un,647
19248,ten,647
2463,alexander,647
14846,per,645
2795,anti,645
5703,da,644
7905,fear,644
5573,critical,643
17488,science,642
13681,nineteenth,642
13449,nathan,641
13560,neither,641
5117,condition,640
5739,daniel,640
12637,merely,638
17960,short,637
13659,night,637
17930,shmuel,636
19095,tale,636
14137,object,635
19055,ta,634
10132,included,634
18023,side,634
16089,rabbah,633
18234,small,632
3584,baron,631
20109,understand,629
18816,sugya,628
18122,single,626
3051,around,626
6444,dispute,625
16717,research,624
21459,z,622
4517,certainly,621
17712,service,621
14064,nw,620
16767,respect,620
4872,collection,619
19189,teacher,617
10314,inn,615
13972,nr,615
8442,function,611
15001,phenomenon,611
18810,suggest,610
18398,special,610
7943,female,609
12210,main,606
9353,held,606
8594,generally,603
16423,refer,603
15305,popular,602
4441,category,601
6485,distinction,600
17676,separate,600
5497,country,599
3433,away,597
14496,outside,597
12229,making,596
8325,france,596
3814,best,595
17190,ruling,595
21698,ב,595
5536,created,594
